packageName,property,expected,actual,group
ch.ethz.rse.integration.tests.Test_Short_Loop_2,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Short_Loop_2,FITS_IN_RESERVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Smaller_Relational,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Smaller_Relational_2,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Assignment,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Geq,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Loop,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Multiple,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Multiple,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Neq,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Neq,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Nested,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Reachable,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unreachable_Reachable,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Unrelated_Argument,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
